Title,Tags
MCST No:,0001
UEN:,S68MC0001B
Date of MC Constitution:,23/10/1968
Development Name:,BENG TONG MANSION
Status:,Active
Development Location:,247 TANJONG KATONG ROAD SINGAPORE 437035
MC Address:,"16 KING GEORGES AVENUE
BENG TONG MANSION
 SINGAPORE 208558"
MC Contact No.:,
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0002
UEN:,S68MC0002J
Date of MC Constitution:,23/10/1968
Development Name:,BENG TONG MANSION
Status:,Active
Development Location:,249 TANJONG KATONG ROAD SINGAPORE 437037
MC Address:,"203 HOUGANG STREET 21
#1-71 
 SINGAPORE 530203"
MC Contact No.:,62888059
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0003
UEN:,S68MC0003E
Date of MC Constitution:,23/10/1968
Development Name:,BENG TONG MANSION
Status:,Active
Development Location:,251A TANJONG KATONG ROAD SINGAPORE 437039
MC Address:,"TANJONG KATONG ROAD

 SINGAPORE 437039"
MC Contact No.:,63453007
Name of Managing Agent:,MCST
Managing Agent Contact No.:,
MCST No:,0004
UEN:,S68MC0004A
Date of MC Constitution:,23/10/1968
Development Name:,BENG TONG MANSION
Status:,Active
Development Location:,243B TANJONG KATONG ROAD SINGAPORE 428987
MC Address:,"23 MOUNT SINAI DRIVE

 SINGAPORE 277083"
MC Contact No.:,62654277
Name of Managing Agent:,MCST
Managing Agent Contact No.:,
MCST No:,0005
UEN:,S68MC0005H
Date of MC Constitution:,26/10/1968
Development Name:,BENG TONG MANSION
Status:,Active
Development Location:,253B TANJONG KATONG ROAD SINGAPORE 437041
MC Address:,"TANJONG KATONG ROAD

 SINGAPORE 437041"
MC Contact No.:,
Name of Managing Agent:,MCST
Managing Agent Contact No.:,
MCST No:,0006
UEN:,S68MC0006D
Date of MC Constitution:,26/10/1968
Development Name:,BENG TONG MANSION
Status:,Active
Development Location:,245B TANJONG KATONG ROAD SINGAPORE 437033
MC Address:,"245 TANJONG KATONG ROAD

 SINGAPORE 437033"
MC Contact No.:,
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0007
UEN:,S68MC0007L
Date of MC Constitution:,29/10/1968
