MCST No:,UEN:,Date of MC Constitution:,Development Name:,Status:,Development Location:,MC Address:,MC Contact No.:,Name of Managing Agent:,Managing Agent Contact No.:
0001,S68MC0001B,23/10/1968,BENG TONG MANSION,Active,247 TANJONG KATONG ROAD SINGAPORE 437035,"16 KING GEORGES AVENUE
BENG TONG MANSION
 SINGAPORE 208558",,,
0002,S68MC0002J,23/10/1968,BENG TONG MANSION,Active,249 TANJONG KATONG ROAD SINGAPORE 437037,"203 HOUGANG STREET 21
#1-71 
 SINGAPORE 530203",62888059,,
0003,S68MC0003E,23/10/1968,BENG TONG MANSION,Active,251A TANJONG KATONG ROAD SINGAPORE 437039,"TANJONG KATONG ROAD

 SINGAPORE 437039",63453007,MCST,
0004,S68MC0004A,23/10/1968,BENG TONG MANSION,Active,243B TANJONG KATONG ROAD SINGAPORE 428987,"23 MOUNT SINAI DRIVE

 SINGAPORE 277083",62654277,MCST,
0005,S68MC0005H,26/10/1968,BENG TONG MANSION,Active,253B TANJONG KATONG ROAD SINGAPORE 437041,"TANJONG KATONG ROAD

 SINGAPORE 437041",,MCST,
0006,S68MC0006D,26/10/1968,BENG TONG MANSION,Active,245B TANJONG KATONG ROAD SINGAPORE 437033,"245 TANJONG KATONG ROAD

 SINGAPORE 437033",,,
0007,S68MC0007L,29/10/1968,BENG TONG MANSION,Active,241B TANJONG KATONG ROAD SINGAPORE 437028,"- TANJONG KATONG ROAD

 SINGAPORE 437029",63464776,MCST,
0008,S68MC0008G,29/10/1968,BENG TONG MANSION,Active,255B TANJONG KATONG ROAD SINGAPORE 437043,"255 TANJONG KATONG ROAD
BEN TONG MANSION
 SINGAPORE 437043",63456920,MCST,
0009,S68MC0009C,29/10/1968,BENG TONG MANSION,Active,257B TANJONG KATONG ROAD SINGAPORE 437045,"257 TANJONG KATONG ROAD

 SINGAPORE 437045",63457048,MCST,
0010,S68MC0010L,29/10/1968,BENG TONG MANSION,Active,259B TANJONG KATONG ROAD SINGAPORE 437047,"259 TANJONG KATONG ROAD
BENGTONG MANSIONS
 SINGAPORE 437047",63456165,MCST,
0011,S69MC0011A,13/05/1969,BINJAI PARK,Active,31/A/B BINJAI PARK SINGAPORE 589831,"31B BINJAI PARK

 SINGAPORE 589832",97605320,,
0012,S69MC0012H,13/05/1969,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0012,Active,27B BINJAI PARK SINGAPORE 589829,"27B BINJAI PARK
#27-B BINJAI PARK
 SINGAPORE 589830",64654690,,
0013,S69MC0013D,13/05/1969,BINJAI PARK,Active,23B BINJAI PARK SINGAPORE 589827,"23A BINJAI PARK

 SINGAPORE 589828",90017128,,
0014,S69MC0014L,13/05/1969,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0014,Active,17 BINJAI PARK SINGAPORE 589825,"19 BINJAI PARK

 SINGAPORE 589826",96729324,,
0015,S69MC0015G,13/05/1969,MANAGEMENT CORPORATIO STRATA TITLE PLAN NO. 0015,Active,15B BINJAI PARK SINGAPORE 589964,"8 JELEBU ROAD
#06-01 
 SINGAPORE 677671",98364731,MCST,
0016,S69MC0016C,13/05/1969,MANAGEMENT CORPORATIO STRATA TITLE PLAN NO. 0016,Active,9 BINJAI PARK SINGAPORE 589822,"BINJAI PARK

 SINGAPORE 589822",64665359,NIL,
0017,S69MC0017K,13/05/1969,BINJAI PARK,Active,3/A/B BINJAI PARK SINGAPORE 589819,"1014 GEYLANG EAST AVENUE 3
#07-216 
 SINGAPORE 389729",68440801,Halley Service Pte Ltd,68440801
0018,S69MC0018F,13/05/1969,MANAGEMENT CORPORATIO STRATA TITLE PLAN NO. 0018,Active,7/A/B BINJAI PARK SINGAPORE 589821,"1014 GEYLANG EAST AVENUE 3
#07-216 
 SINGAPORE 389729",68440801,Halley Service Pte Ltd,68440801
0019,S69MC0019B,13/05/1969,VALLEY MANSIONS,Active,58A OXLEY ROAD SINGAPORE 238637,"50-68 OXLEY ROAD
VALLEY MANSION
 SINGAPORE 238653",62218288,SRE Global Pte Ltd,62218288
0020,S69MC0020K,09/06/1969,MANDALAY COURT,Terminated,31/A-G MANDALAY ROAD SINGAPORE 308212,"31 MANDALAY ROAD

 SINGAPORE",,HALLEY SERVICES PTE LTD,68440801
0021,S69MC0021F,24/07/1969,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0021,Active,8C LEWIS ROAD SINGAPORE 258591,"8 LEWIS ROAD

 SINGAPORE 258593",62352372,,
0022,S69MC0022B,21/08/1969,,Terminated,,"71 LORONG 23 GEYLANG
#06-01 THK BUILDING
 SINGAPORE 388386",67412422,BRONSAN INTERS-FURNI CONTRACTS & SERVICES,92205693
0023,S69MC0023J,05/09/1969,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0023,Active,136C TANJONG KATONG ROAD SINGAPORE 436976,"50 CHIN SWEE ROAD
#09-02 THONG CHAI BUILDING
 SINGAPORE 169874",67322220,Sierra Asset Management Pte Ltd,67322220
0024,S69MC0024E,26/09/1969,SPRING COURT / SPRING MANSION,Terminated,3/A/B/C/D JALAN DUSUN SINGAPORE 329367,"574 BALESTIER ROAD
SPRING COURT / SPRING MANSION
 SINGAPORE 329889",90220505,,
0025,S69MC0025A,15/10/1969,GOLDHILL TOWERS,Active,38 GOLDHILL AVENUE SINGAPORE 309021,"38-44 GOLDHILL AVENUE
GOLDHILL TOWERS
 SINGAPORE 309021",98781206,Exceltec Property Management Pte Ltd,98781206
0026,S69MC0026H,18/11/1969,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0026,Active,30B FLANDERS SQUARE SINGAPORE 209310,"30 FLANDERS SQUARE

 SINGAPORE 209310",62981936,NIL,
0027,S69MC0027D,18/11/1969,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0027,Active,28/A/B FLANDERS SQUARE SINGAPORE 209309,"288 TAMPINES STREET 22
#2-346 
 SINGAPORE 520288",67812736,NIL,
0028,S69MC0028L,18/11/1969,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0028,Active,26 FLANDERS SQUARE SINGAPORE 209308,"6 TAMAN SIREH

 SINGAPORE 535199",62868382,NIL,
